Row  instruction         | regs                    |                 src1        src2                   res        quot  active  cond  skip                 range  wrap
284  MUL       r3 r5 r5  | r3=15210313772218211529 |           3900040227  3900040227  15210313772218211529           1       1     0     0  15210313772218211529     0
285  MOD       r3 r3 r1  | r3=895519671            | 15210313772218211529  4200970013             895519671  3620667067       1     0     0            3305450341     0
286  LT        r4 r0 r4  | -                       |                    0           1                     1           1       1     0     0                     0     0
287  JZ        r4 3      | -                       |                    1           0                     1           1       1     1     0                     1     0
288  MUL       r2 r3 r2  | r2=774225342894769776   |            895519671   864554256    774225342894769776           1       1     0     0    774225342894769776     0
289  MOD       r5 r2 r1  | r5=1337                 |   774225342894769776  4200970013                  1337   184296804       1     0     0            4200968675     0
290  JZ        r0 1      | -                       |                    0           0                     1           1       1     0     0                     1     0
291  ADD       r5 r3 r0  | -                       |            895519671           0                     0           1       0     0     1                     0     0
292  SET       r15 1337  | r15=1337                |                    0           0                  1337           1       1     0     0                  1337     0
293  ASSERT_EQ r5 r15    | passed                  |                 1337        1337                     1           1       1     0     0                     1     0
